FI	theta
23	135.463860
24	135.490937
10	150.907209
9	150.081463
6	153.077157
7	153.979928
7	153.471692
9	149.175990
1	163.180166
19	139.689882
24	135.623174
19	139.167815
21	137.493921
22	136.019874
3	158.735716
19	140.580986
18	140.121055
8	150.231876
18	139.369084
10	151.096083
9	150.499570
6	155.221625
11	147.694999
23	135.515014
9	149.790031
17	141.139183
5	156.221659
21	136.978116
19	139.609677
22	135.765337
7	151.540968
10	147.506864
19	139.857950
9	150.312308
11	148.233543
17	140.386147
12	145.981843
8	151.127983
7	153.499486
17	140.973043
5	156.818629
18	140.777941
7	151.332064
21	138.996753
1	163.489075
19	139.771000
19	139.816696
9	148.924889
5	154.914353
17	142.717979
3	156.999381
23	136.468158
19	140.051404
3	157.338926
8	150.960588
17	141.327237
18	141.473732
17	140.027846
6	155.431899
12	147.228221
5	154.966077
4	157.696502
12	146.629705
24	135.659768
18	141.880371
8	153.750075
20	138.061021
21	138.448228
20	137.525521
6	153.648392
8	152.826233
18	140.775502
3	159.675052
9	148.870571
6	153.668235
6	153.561642
10	147.717056
20	137.953833
10	148.944674
4	156.572834
18	140.312408
6	154.315933
1	159.846837
18	139.765664
17	140.882610
18	140.097177
11	147.042398
22	136.107053
22	136.590613
24	135.127959
1	160.355303
2	162.182368
10	148.708604
18	139.806979
24	134.644415
4	158.159980
21	137.299498
5	155.022552
24	135.725073
18	140.549854
8	153.697482
10	149.548870
18	140.507636
7	152.450061
1	159.954698
20	139.421128
1	162.657386
2	161.476555
11	149.774004
17	141.981369
11	149.137717
10	150.264946
24	135.100726
18	140.710456
12	145.180758
1	162.910578
8	153.715968
6	154.942661
22	137.880871
11	147.021383
9	149.131644
22	137.988440
22	135.957538
5	155.971533
18	140.126349
4	156.655163
9	152.175684
23	135.271633
5	155.335700
11	146.909677
7	154.207386
20	138.949987
7	153.269785
24	135.067871
21	138.644816
10	150.725248
5	154.154919
8	150.104323
24	135.865162
12	148.546490
22	137.330323
3	160.435196
12	146.304373
9	148.844407
11	147.743555
18	139.812350
21	137.719078
23	136.462347
4	158.584271
24	135.642315
1	161.031359
5	157.065651
24	135.980995
6	153.332032
6	155.165900
5	155.423099
21	138.037589
21	137.856469
9	151.862432
10	147.518595
19	140.027807
19	139.324522
4	157.279561
8	151.760314
21	138.484041
19	138.875008
24	135.970835
18	141.370749
